step,precise,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29
400000,1120666,1107461.24,1097729.45,1126393.29,1123811.54,1126500.08,1141604.81,1110743.77,1125089.70,1119491.57,1117009.93,1161623.97,1124591.55,1120627.63,1101338.89,1148222.05,1120572.48,1123810.92,1121736.68,1137272.30,1107851.14,1128869.08,1088307.48,1103113.88,1102241.46,1142623.26,1111981.79,1132264.86,1115156.89,1120740.78,1120831.99
410000,1148517,1135591.00,1124491.50,1157134.75,1157886.30,1149977.42,1172333.92,1137580.19,1154514.03,1148831.36,1144824.75,1189447.77,1156959.09,1150237.98,1129169.45,1179643.32,1146798.98,1146599.55,1146718.50,1163366.98,1135080.79,1152698.43,1115423.44,1127397.89,1132602.00,1171874.80,1139288.06,1153229.27,1141238.47,1150959.94,1149382.67
420000,1176364,1162770.66,1148692.46,1185245.38,1180759.40,1175166.48,1199799.17,1161386.21,1177081.97,1177278.19,1174419.25,1217563.85,1180509.13,1182230.39,1161818.02,1207232.68,1173856.27,1172330.80,1173813.64,1198568.67,1160688.52,1176938.33,1145520.22,1161216.19,1162101.21,1199156.49,1165177.58,1183227.63,1173475.08,1185139.48,1172547.62
430000,1204287,1189542.26,1174775.08,1212916.10,1212655.81,1206827.18,1227333.77,1185098.80,1204993.44,1206980.07,1201069.58,1243979.95,1210710.13,1216491.06,1192696.67,1237452.29,1196412.70,1196335.96,1200851.57,1230189.89,1189490.29,1204628.76,1172156.43,1186422.04,1186940.70,1224448.10,1190970.63,1209801.67,1199760.71,1214343.88,1197773.61
440000,1232059,1217667.30,1201908.73,1242762.68,1237964.51,1240445.77,1261891.06,1215898.31,1233719.24,1235581.32,1227657.06,1271728.82,1242750.05,1244854.17,1219635.18,1263014.69,1222752.55,1226265.48,1234397.32,1261743.05,1217397.40,1230937.60,1204026.26,1213410.78,1211726.13,1252045.65,1227440.54,1237022.66,1230436.79,1244379.29,1225866.41
450000,1259976,1242799.11,1231880.37,1268852.21,1263154.80,1271424.52,1286540.34,1245423.05,1261634.93,1261211.09,1251659.38,1298905.95,1272569.95,1276521.68,1248195.37,1298043.83,1248521.11,1252268.68,1260455.90,1291949.37,1243777.91,1257446.41,1235005.40,1243061.29,1245794.20,1281726.45,1262126.97,1263165.96,1269092.50,1275000.34,1251580.33
460000,1287767,1272952.34,1257431.02,1295192.44,1284999.53,1295930.14,1311960.66,1274218.09,1287566.39,1289246.65,1275484.33,1327115.62,1298832.58,1301170.03,1272117.57,1326826.18,1275718.48,1277611.40,1286230.91,1319417.69,1269732.36,1282051.76,1261854.14,1272577.13,1270598.78,1304797.50,1291453.63,1290284.34,1298049.51,1301016.92,1280514.18
470000,1315625,1299888.49,1284923.34,1323245.09,1315760.30,1323016.63,1338852.91,1301318.37,1317317.10,1315582.70,1301684.28,1351633.81,1324525.69,1326631.40,1297021.84,1352078.68,1304098.20,1310345.30,1310677.79,1340581.11,1292230.18,1307841.72,1285172.23,1296300.91,1294909.15,1335256.97,1315626.02,1314653.90,1333474.45,1326726.07,1308503.86
480000,1343417,1320772.39,1312323.45,1347515.54,1346989.76,1345114.08,1365931.55,1329009.82,1352398.62,1344817.06,1328448.86,1388444.86,1355522.43,1353279.99,1325763.06,1372855.88,1330943.05,1333654.53,1333220.41,1364166.89,1319101.36,1336081.76,1310919.15,1324422.03,1326649.50,1364981.24,1337984.41,1340708.78,1364167.04,1352523.26,1333886.40
490000,1371240,1348958.44,1335920.05,1370561.22,1373698.94,1375499.99,1392328.97,1353867.07,1382384.39,1378517.18,1357259.98,1413136.94,1384328.11,1383486.59,1347059.23,1393790.79,1357705.29,1357428.90,1358874.93,1390747.86,1350124.73,1364738.07,1335230.76,1349855.33,1348064.62,1390988.31,1368575.52,1371357.84,1396255.42,1384361.30,1362998.53
500000,1399056,1376306.76,1366139.66,1397483.10,1401626.56,1401423.98,1419867.20,1382635.59,1418343.22,1406920.40,1384881.33,1443661.68,1409158.41,1416767.02,1374254.79,1419624.65,1387662.61,1385845.14,1387323.86,1419878.68,1379054.34,1396090.95,1362909.62,1377055.34,1377580.81,1416132.36,1399030.63,1402309.16,1426980.83,1412964.30,1383841.84
510000,1426886,1402819.00,1391412.66,1426363.32,1430661.99,1423387.62,1445458.50,1418390.08,1445747.52,1437969.01,1411852.59,1472836.98,1438081.84,1442857.79,1400899.76,1443963.01,1419507.07,1416816.31,1418917.07,1452641.69,1407864.45,1421647.65,1393995.26,1406497.03,1402464.79,1444007.05,1429353.86,1431588.63,1452452.57,1440834.59,1413876.80
520000,1454706,1430844.88,1421928.71,1450415.13,1454863.89,1449476.64,1469982.94,1451365.17,1476474.27,1469683.80,1440462.85,1502523.34,1470162.72,1469414.95,1433313.64,1479000.65,1446601.72,1445334.38,1444146.64,1480728.64,1438281.83,1446781.24,1420148.27,1435396.91,1428797.32,1477750.71,1460308.70,1463044.49,1479962.92,1471342.48,1439588.40
530000,1482517,1457345.08,1444328.54,1477631.79,1483416.37,1476315.14,1495671.01,1484477.40,1502180.27,1494716.07,1468413.61,1532622.48,1499068.31,1502145.94,1464163.59,1505490.00,1476323.82,1474164.43,1465458.51,1508969.92,1464656.25,1475067.77,1449022.39,1456662.30,1459181.85,1499720.75,1487446.09,1492533.61,1507946.00,1501479.40,1464515.97
540000,1510292,1482930.81,1478943.19,1509644.30,1505327.77,1500818.91,1524984.70,1507315.27,1528048.58,1518249.36,1501985.90,1553429.47,1528135.73,1529658.91,1495492.38,1532079.99,1502136.56,1500543.21,1490941.29,1539838.10,1490436.48,1507803.53,1482253.76,1481321.19,1484922.96,1524252.65,1511921.08,1523397.64,1532855.56,1532200.86,1495341.95
550000,1538114,1507217.55,1507627.95,1541168.37,1534210.09,1527827.55,1554984.60,1536111.34,1552332.14,1542997.25,1531800.64,1585565.30,1553513.92,1560082.70,1528679.11,1554535.06,1529420.54,1522302.22,1524143.06,1564133.62,1520821.99,1540547.79,1511131.68,1507355.65,1508705.17,1551339.50,1534792.38,1545035.82,1555835.91,1555835.19,1522229.48
560000,1565946,1527729.12,1533438.21,1573086.94,1562325.92,1548294.67,1583454.32,1562280.23,1575037.63,1566897.03,1567472.31,1612880.89,1584178.69,1586829.60,1550989.89,1588890.80,1563654.92,1550914.95,1558987.50,1590609.90,1549045.27,1571689.40,1537963.38,1536835.05,1534653.62,1579833.22,1565694.76,1577368.12,1582329.58,1581988.69,1547504.63
570000,1593722,1557154.50,1565867.85,1594651.34,1586317.53,1571515.65,1608952.70,1591248.47,1607268.35,1596502.66,1596390.12,1637953.24,1614414.00,1612867.51,1576730.89,1616873.53,1596116.84,1580859.82,1584885.60,1619733.88,1576027.12,1606015.66,1567415.91,1560787.81,1566177.27,1612768.74,1595768.59,1607284.95,1611541.28,1610660.81,1575573.40
580000,1621443,1583174.15,1590747.86,1624766.68,1609311.52,1602355.81,1632997.84,1625822.16,1640849.14,1620555.16,1622844.49,1670008.55,1638810.51,1640512.22,1600293.51,1643243.61,1619069.92,1610274.25,1615605.05,1646642.71,1604667.49,1636039.14,1591880.42,1592120.38,1594182.68,1640164.05,1628733.46,1636393.37,1634574.56,1635949.64,1603411.34
590000,1649225,1608492.52,1617414.08,1654840.43,1638621.88,1634928.53,1658587.43,1657779.68,1663717.20,1642256.27,1646039.47,1704374.63,1666374.57,1663478.56,1628176.08,1673877.46,1653700.12,1637017.91,1639618.68,1677910.39,1626328.37,1661640.43,1621017.81,1617992.08,1618062.44,1669310.49,1660437.17,1658071.94,1667210.81,1665245.41,1622943.61
600000,1676960,1639124.39,1642716.72,1684747.27,1670692.62,1665272.57,1687686.55,1689063.77,1687733.98,1672013.48,1668512.62,1728892.73,1690107.48,1692598.43,1662245.63,1699614.69,1682895.90,1667623.01,1671649.49,1711347.78,1648232.73,1694794.10,1644684.54,1648774.31,1648777.10,1696681.57,1694483.38,1687691.60,1694232.84,1689621.61,1650013.51
610000,1704679,1664539.15,1670919.85,1710180.45,1699433.13,1692807.72,1720333.79,1711978.88,1710510.85,1703563.14,1697228.90,1757610.17,1718145.42,1720466.76,1688504.11,1733477.19,1708582.44,1700658.78,1698365.59,1742706.58,1679398.66,1724186.93,1675519.54,1679060.51,1673348.67,1727491.34,1723513.62,1709669.37,1723623.84,1717484.94,1677788.74
620000,1732398,1689704.25,1705178.99,1736804.02,1720880.97,1722006.75,1752847.34,1742233.23,1735449.60,1730178.60,1726184.27,1781956.70,1746456.89,1751135.94,1720272.68,1762736.74,1734900.59,1726122.63,1727494.40,1773967.21,1707189.76,1746644.78,1701278.94,1707092.02,1706106.55,1752567.26,1751070.39,1730716.71,1758668.98,1747703.11,1705095.23
630000,1760217,1719561.34,1737010.36,1763744.54,1747668.03,1754892.86,1778200.14,1770726.86,1756943.89,1758233.95,1758747.78,1814075.67,1775867.14,1786900.90,1744655.13,1788531.79,1755625.85,1754155.39,1752599.46,1806397.34,1731691.18,1769863.62,1728146.11,1734776.47,1734540.02,1778494.08,1782332.37,1759547.01,1785589.81,1776225.21,1729144.61
